cp,status,last_checked,notes
AndaLookkaew,confirmed,2026-08-11,已写入《学姐可以爱我吗》首播及《残留》先行预告节点
AppleMim,confirmed,2026-08-11,已通过双方演员名反查并写入《四大元素之大地情缘》首播节点
ArhoungPam,confirmed,2026-08-11,已通过双方演员名反查并写入《女神之境：换魂游戏》首播节点
AtomMer,confirmed,2026-08-11,已通过双方演员名反查并写入《我唯一的阳光》首播节点
BamYada,context_only,2026-08-11,已核对为活动及宣传期形成的配对称呼；未发现双方共同主演的GL剧，不写入剧播节点
EmiBonnie,confirmed,2026-08-11,已写入首播及后续合作项目预告节点
EngLot,confirmed,2026-08-11,已写入四部已播合作剧及《无限的爱》预告节点
EnjoyJune,confirmed,2026-08-11,已写入合作剧首播节点
FayGene,confirmed,2026-08-11,已通过《追逐爱情》完整演员表确认支线CP并写入首播节点
FayMay,confirmed,2026-08-11,已写入《梦中的她》《固执的爱》两部合作剧首播节点
FayeAtom,confirmed,2026-08-11,已写入《破碎的爱》首播节点
FayeYoko,confirmed,2026-08-11,已写入《爱填满空白》第一季及第二季首播节点
FreenBecky,confirmed,2026-08-11,已写入四部已播合作剧及《死亡遗迹之谜》先行预告节点
GinJay,confirmed,2026-08-11,已写入《爱情毒药》首播节点
GraceOaey,confirmed,2026-08-11,已写入《我的青梅是讨厌鬼》首播节点
IceMemi,confirmed,2026-08-11,已写入合作剧首播节点
JanJingjing,confirmed,2026-08-11,已写入项目预告与首播节点
JaoyingMewnich,announcement_only,2026-08-11,已写入《爱的回响》换角后合作阵容正式确认节点；尚未定档
JuneMewnich,confirmed,2026-08-11,已写入合作剧及后续合作项目节点
KaoJaneJaneKao,confirmed,2026-08-11,已写入《设计爱情》首播节点
KapookCiize,confirmed,2026-08-11,已通过《宿敌恋人》完整演员表确认支线CP并写入首播节点
LMSY,confirmed,2026-08-11,已写入两部合作剧首播节点
LenaMiu,confirmed,2026-08-11,已写入首播与下一合作项目节点
LillyBelle,confirmed,2026-08-11,已写入《和谐密语》与《想要成为超级巨星》首播节点
LingOrm,confirmed,2026-08-11,已写入三部合作剧的首播或预告节点
MablePangjie,confirmed,2026-08-11,已写入合作剧首播节点
MeenBabe,confirmed,2026-08-11,已写入《Delete Your Past》首播及《月影之下》定档节点
MieAya,confirmed,2026-08-11,已写入《再次为你》首播节点
MilkLove,confirmed,2026-08-11,已写入多部合作剧及下一项目节点
MyChan,confirmed,2026-08-11,已通过Myyu与Chanya演员名反查并写入《AI女孩》首播节点
NamneungNoey,confirmed,2026-08-11,已写入《四大元素之火之爱链》首播节点
NamtanFilm,confirmed,2026-08-11,已写入合作剧与下一项目节点
NikyEngland,confirmed,2026-08-11,已写入共同参演剧集首播节点
NileNamwan,confirmed,2026-08-11,已写入《追逐爱情》首播节点
NookAlex,confirmed,2026-08-11,已写入共同参演剧集首播节点
OomBam,confirmed,2026-08-11,已写入《让爱圆满》首播节点
OpalMint,confirmed,2026-08-11,已写入共同参演剧集首播节点
PahnFond,announcement_only,2026-08-11,已写入下一合作项目招商预告节点
PuyfaiPloy,confirmed,2026-08-11,已写入共同参演剧集首播节点
TanYada,confirmed,2026-08-11,已写入《游乐园》首播节点
TkNur,confirmed,2026-08-11,已写入合作剧首播节点
TungpangJessie,confirmed,2026-08-11,已写入《心之密码》首播节点
ViewJune,confirmed,2026-08-11,作为《地球倾斜23.5度》副CP写入共同合作剧首播节点
ViewMim,confirmed,2026-08-11,已写入共同合作剧及下一项目节点
